Species,FA,BM
Casinycteris_campomaanensis,67.8,36
Chaerephon_pumilus,35.6,9
Epomophorus_gambianus,86.9,148
Epomops_franqueti,87.1,101
Glauconycteris_beatrix,37.2,6
Hipposideros_ruber,51.1,12
Hypsignathus_monstrosus,112.9,148.3
Megaloglossus_woermanni,42,16.1
Micropteropus_pusillus,50.4,25.2
Mops_condylurus,48.5,23
Myonycteris_torquata,58.5,35.6
Nycteris_grandis,62.8,32.5
Nycteris_macrotis,49.9,15
Rhinolophus_darlingi,47.6,12.5
Rousettus_aegyptiacus,93.5,135.3
Scotophilus_dinganii,56.6,23
Scotophilus_leucogaster,52.9,19.5
Scotophilus_nigrita,89.2,79
Taphozous_nudiventris,71.3,44
